game:home-finance,Home Finance,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:home-finance:sinclair-research
game:hopper-copper,Hopper Copper,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hopper-copper:silverbird-software
game:hopping,HOPPING,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,Sinclair User,https://sinclairuser.com/078/index.htm,,,Confirmed from contemporary magazine evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Issue contents metadata only; no review or article text is stored.,Generated from data/curated/games.jsonl. Source IDs: source-item:sinclair-user-supplement:078:hopping-mad
game:hopping-mad,Hopping Mad,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hopping-mad:elite-systems
game:horace-and-the-spiders,Horace and the Spiders,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:horace-and-the-spiders:sinclair-research
game:horace-goes-skiing,Horace Goes Skiing,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:horace-goes-skiing:sinclair-research
game:horace-to-the-rescue,Horace to the Rescue,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:horace-to-the-rescue:melbourne-house
game:horizons,Horizons,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:horizons:sinclair-research
game:horrorscope,Horrorscope,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:horrorscope:square-peg
game:horse-race,HORSE RACE,,Acorn Electron,,,Dynabyte,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,Stairway To Hell,https://www.stairwaytohell.com/electron/h.html,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Catalogue metadata only; software and images are not copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-h-html:horse-race:dynabyte
game:hostages,Hostages,,Acorn Electron,,,Superior,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hostages:infogrames
game:hot-dogs,Hot Dogs,,ZX Spectrum,Apr'84,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hot-dogs:d-humphries
game:hot-dot-spotter,Hot Dot Spotter,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hot-dot-spotter:longman-software
game:hot-gossip,Hot Gossip,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hot-gossip:tony-takoushi
game:hot-pursuit,Hot Pursuit,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hot-pursuit:sn-yogasudram
game:hot-rod,Hot Rod,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hot-rod:activision
game:hot-shot,Hot-Shot,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hot-shot:m-wallis
game:hotch-potch,Hotch-Potch,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hotch-potch:mastertronic
game:hotfoot-crevasse,Hotfoot + Crevasse                                             @,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hotfoot-crevasse:microsphere
game:hotline,Hotline,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hotline:chalksoft
game:hotshot,Hotshot,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hotshot:addictive-games
game:hotshots,Hotshots,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hotshots:the-force
game:houdini,Houdini,,ZX Spectrum,Feb'84,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:houdini:janson-allen
game:house-jack-built-the,"House Jack Built, The",,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:house-jack-built-the:thor-computer-software
game:house-mix-the,"House Mix, The",,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:house-mix-the:gremlin-graphics-software
game:house-of-orion-the,"House of Orion, The",,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:house-of-orion-the:david-newton
game:house-of-the-living-dead-the,"House of the Living Dead, The",,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:house-of-the-living-dead-the:phipps-associates
game:house-on-damned-hill-the,"House on Damned Hill, The",,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:house-on-damned-hill-the:century-city-software
game:house-on-the-tor,House on the Tor,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:house-on-the-tor:zenobi-software
game:house-that-jack-built-the,"House that Jack Built, The",,ZX Spectrum,Feb'84,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:house-that-jack-built-the:craig-mitchell
game:house-the,"House, The",,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:house-the:celyn-jones-software
game:housebuilder,Housebuilder,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:housebuilder:scetlander-aka-lander
game:hover-bovver,Hover Bovver,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hover-bovver:salamander-software
game:how-long-have-you-got,How Long Have You Got?,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:how-long-have-you-got:eastmead-computer-systems
game:how-machines-work,How Machines Work,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:how-machines-work:calpac-computer-software
game:how-to-be-a-complete-bastard,How to be a Complete Bastard,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:how-to-be-a-complete-bastard:virgin-games
game:how-to-be-a-hero,How to be a Hero,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:how-to-be-a-hero:mastertronic
game:how-to-get-the-most-out-of-your-computer,How to Get the Most Out of Your Computer,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:how-to-get-the-most-out-of-your-computer:power-house
game:howard-the-duck,Howard the Duck,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:howard-the-duck:activision
game:howzat,Howzat!,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:howzat:wyvern-software
game:hrh,HRH,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hrh:8th-day-software
game:hubert,Hubert,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hubert:blaby-computer-games
game:hudson-hawk,Hudson Hawk,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:hudson-hawk:ocean-software
game:human-killing-machine,Human Killing Machine,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:human-killing-machine:us-gold
